"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay - Short"
"Vehicle","CRG Mini60"
"User","Another Stig"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","11/19/23"
"Time","16:57:27"
"Sample Rate","10"
"Duration","387.398"
"Segment","Session"
"Beacon Markers","46.014, 86.776, 127.575, 168.513, 209.304, 249.994, 290.632, 331.401, 379.036"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"6.701","79.700","6799","112.118332","0.000000","0","46.435487","0.000682","0.350503","-0.398496","100.000000","0.000000","0.000000","0.000000","0.033962","78.241463","113.196465"
"6.801","80.346","6985","112.129524","0.000000","0","47.677107","-0.034892","0.354491","-0.485837","100.000000","0.000000","0.000000","0.000000","-1.389832","78.519089","111.918510"
"6.901","81.044","7133","112.150291","0.000000","0","48.921230","0.016214","0.347485","0.226652","100.000000","0.000000","0.000000","0.000000","0.651861","78.805779","110.608261"
"7.001","81.798","7323","112.179100","0.000000","0","50.159966","0.039854","0.385756","0.674426","100.000000","0.000000","0.000000","0.000000","2.021946","79.097214","109.263008"
"7.101","82.610","7501","112.217056","0.000000","0","51.356593","0.112355","0.336675","2.647953","100.000000","0.000000","0.000000","0.000000","3.633336","79.393326","107.883858"
"7.201","83.482","7657","112.260826","0.000000","0","52.572062","0.176238","0.343477","3.167593","100.000000","0.000000","0.000000","0.000000","7.670642","79.684570","106.469818"
"7.301","84.415","7830","112.310860","0.000000","0","53.737540","0.159277","0.319259","2.808268","100.000000","0.000000","0.000000","0.000000","6.168481","79.965256","105.019951"
"7.401","85.414","7981","112.365814","0.000000","0","54.899337","0.180409","0.320528","2.808268","100.000000","0.000000","0.000000","0.000000","6.590786","80.235466","103.535133"
"7.501","86.484","8143","112.425011","0.000000","0","56.037078","0.164680","0.321753","2.808268","100.000000","0.000000","0.000000","0.000000","6.534743","80.494858","102.015923"
"7.601","87.629","8275","112.487747","0.000000","0","57.179794","0.118404","0.347860","2.764043","100.000000","0.000000","0.000000","0.000000","5.992312","80.743431","100.463371"
"7.701","88.854","8437","112.553207","0.000000","0","58.287277","0.223554","0.296364","2.764043","100.000000","0.000000","0.000000","0.000000","5.570237","80.983452","98.877777"
"7.801","90.160","8577","112.621094","0.000000","0","59.413177","0.150759","0.308138","1.730291","100.000000","0.000000","0.000000","0.000000","6.470006","81.207710","97.259071"
"7.901","91.550","8741","112.691307","0.000000","0","60.494911","0.066830","0.299693","0.409078","100.000000","0.000000","0.000000","0.000000","0.965498","81.422867","95.607674"
